image_id,file_name,complexity,entities,actions,structure_who,structure_what,structure_where,structure_color,structure_shape,structure_sound,structure_size,structure_number,structure_movement,structure_mood,question_who,question_what,question_where,question_color,question_shape,question_sound,question_size,question_number,question_movement,question_mood,question_who_easy,question_who_medium,question_who_hard,question_what_easy,question_what_medium,question_what_hard,question_where_easy,question_where_medium,question_where_hard,question_color_easy,question_color_medium,question_color_hard,question_shape_easy,question_shape_medium,question_shape_hard,question_sound_easy,question_sound_medium,question_sound_hard,question_size_easy,question_size_medium,question_size_hard,question_number_easy,question_number_medium,question_number_hard,question_movement_easy,question_movement_medium,question_movement_hard,question_mood_easy,question_mood_medium,question_mood_hard
011,img_011.png,2,rabbits; flowers; grass; sky,hopping; playing,two rabbits,rabbits hopping,grassy field,green; blue; yellow; white,round flowers; oval ears,soft thumps,rabbits larger than flowers,two rabbits; several flowers,rabbits hopping,playful,Who is in the picture?,What are the rabbits doing?,Where are the rabbits playing?,What colors do you see?,What shapes are the flowers?,What sounds might the rabbits make?,"What is bigger, rabbits or flowers?",How many rabbits are there?,How are the rabbits moving?,What mood does this scene have?,What animals do you see in the picture?,Who is in the picture?,"Who is in the picture, and what are they doing together?",What are the animals doing?,What are the rabbits doing?,"What are the rabbits doing, and why do you think they are doing that?",Where are the rabbits?,Where are the rabbits playing?,"Where are the rabbits playing, and what makes it a good place for them?",What color is the sky?,What colors do you see?,"What colors do you see, and how do they make the scene feel?",What shape are the flowers?,What shapes are the flowers?,"What shapes are the flowers, and how do they compare to the rabbits' ears?",What sound might the rabbits make when they move?,What sounds might the rabbits make?,"What sounds might the rabbits make, and what do those sounds tell you about them?",How big are the rabbits?,"What is bigger, rabbits or flowers?","What is bigger, rabbits or flowers, and why do you think that is?",How many animals do you see?,How many rabbits are there?,"How many rabbits are there, and how does that affect the scene?",What are the rabbits doing with their legs?,How are the rabbits moving?,"How are the rabbits moving, and what does that tell you about their mood?",How does the picture make you feel?,What mood does this scene have?,"What mood does this scene have, and what in the picture makes you feel that way?"
012,img_012.png,2,squirrel; acorns; tree; basket; city skyline,holding acorn; gathering acorns,squirrel,squirrel gathering acorns,park with trees and city skyline,brown; green; blue,round acorns; oval basket,rustling leaves,squirrel larger than acorns,four acorns,squirrel holding acorn,focused,Who is gathering the acorns?,What is the squirrel doing?,Where is the squirrel?,What colors do you see?,What shape are the acorns?,What sounds might you hear here?,"What is bigger, the squirrel or the acorns?",How many acorns are there?,How is the squirrel moving?,What mood does the squirrel seem to have?,Who is holding an acorn?,Who is gathering the acorns?,"Who is gathering the acorns, and why might they be doing that?",What is the squirrel holding?,What is the squirrel doing?,"What is the squirrel doing, and why is it important for the squirrel?",Where is the tree?,Where is the squirrel?,"Where is the squirrel, and what clues tell you about this place?",What color is the squirrel?,What colors do you see?,"What colors do you see, and how do they make the scene feel?",What shape is the basket?,What shape are the acorns?,"What shape are the acorns, and how do these shapes help the squirrel?",What sound might the leaves make?,What sounds might you hear here?,"What sounds might you hear here, and how would they make you feel?",How big is the squirrel?,"What is bigger, the squirrel or the acorns?","What is bigger, the squirrel or the acorns, and why does that matter?",How many acorns can you see?,How many acorns are there?,"How many acorns are there, and why might the squirrel want that many?",What is the squirrel doing with the acorn?,How is the squirrel moving?,"How is the squirrel moving, and what does that tell you about its goal?",How does the squirrel look?,What mood does the squirrel seem to have?,"What mood does the squirrel seem to have, and why do you think that?"
013,img_013.png,2,boy; juice; glass; carton,pouring juice,a boy,pouring juice into a glass,kitchen,orange; blue; yellow,rectangular carton; round glass,pouring liquid,glass smaller than carton,one boy; one glass; one carton,juice pouring,calm and focused,Who is in the picture?,What is the boy doing?,Where do you think this is?,What colors can you see?,What shapes do you notice?,What sounds might you hear?,What is smaller than the carton?,How many objects are on the table?,How can you tell the juice is pouring?,What mood does the boy seem to have?,Who is holding the juice?,Who is in the picture?,"Who is in the picture, and what might he be thinking?",What is the boy holding?,What is the boy doing?,"What is the boy doing, and why might he be doing it?",Where is the boy standing?,Where do you think this is?,"Where do you think this is, and what clues tell you that?",What color is the juice?,What colors can you see?,"What colors can you see, and how do they make the scene feel?",What shape is the glass?,What shapes do you notice?,"What shapes do you notice, and how do they help you understand the objects?",What sound does pouring juice make?,What sounds might you hear?,"What sounds might you hear, and how do they help you know what's happening?",What size is the glass?,What is smaller than the carton?,"What is smaller than the carton, and why does size matter here?",How many glasses are there?,How many objects are on the table?,"How many objects are on the table, and what does that tell you about the scene?",What is happening to the juice?,How can you tell the juice is pouring?,"How can you tell the juice is pouring, and what does that tell you about the action?",How does the boy look?,What mood does the boy seem to have?,"What mood does the boy seem to have, and what makes you think that?"
014,img_014.png,2,cat; birds; window; tree,cat watching; birds flying,cat and two birds,cat watching birds,inside by a window,orange; blue; green,round eyes; bird wings,birds chirping,cat bigger than birds,one cat; two birds,birds flying,curious and peaceful,Who is sitting by the window?,What is the cat doing?,Where are the birds flying?,What colors do you see?,What shapes are the birds' wings?,What sounds might the birds make?,"What is bigger, the cat or birds?",How many birds are there?,How are the birds moving?,What mood does the cat seem to have?,Who is next to the window?,Who is sitting by the window?,"Who is by the window, and what are they doing?",What is the cat looking at?,What is the cat doing?,"What is the cat doing, and why might it be interested?",Where are the birds?,Where are the birds flying?,"Where are the birds flying, and why might they be there?",What color is the cat?,What colors do you see?,"What colors do you see, and how do they make the scene feel?",What shape are the birds' wings?,What shapes are the birds' wings?,"What shapes do you see, and how do they help the birds fly?",What sound might the birds make?,What sounds might the birds make?,"What sounds might the birds make, and how would that sound make you feel?",How big is the cat?,"What is bigger, the cat or birds?","How does the size of the cat compare to the birds, and why might that be important?",How many birds do you see?,How many birds are there?,"How many birds are there, and what might they be doing together?",What are the birds doing?,How are the birds moving?,"How are the birds moving, and what might that tell us about them?",How does the cat feel?,What mood does the cat seem to have?,"What mood does the cat seem to have, and why do you think that?"
015,img_015.png,1,girl; notebook; drawing,drawing; thinking,girl,drawing a face,at a table,yellow; brown; blue,round face; rectangular notebook,quiet,girl is bigger than notebook,one girl; one notebook,still,thoughtful,Who is sitting at the table?,What is the girl doing?,Where is the girl sitting?,What colors do you see on her shirt?,What shapes can you see in the drawing?,What sounds might you hear in this scene?,"What is bigger, the girl or the notebook?",How many people are in the picture?,Is the girl moving or still?,What mood do you think the girl is in?,What is the girl doing at the table?,Who is sitting at the table?,"Who is sitting at the table, and what might she be thinking about?",What is the girl drawing?,What is the girl doing?,"What is the girl doing, and why do you think she chose to draw that?",Where is the girl?,Where is the girl sitting?,"Where is the girl sitting, and what might she be looking at?",What color is her shirt?,What colors do you see on her shirt?,"What colors do you see on her shirt, and how do they make her look?",What shape is the notebook?,What shapes can you see in the drawing?,"What shapes can you see in the drawing, and how do they help make the picture?",What sound do you think the pencil makes?,What sounds might you hear in this scene?,"What sounds might you hear in this scene, and why do you think it's quiet?",How big is the notebook compared to the girl?,"What is bigger, the girl or the notebook?","What is bigger, the girl or the notebook, and why does it matter?",How many things can you see on the table?,How many people are in the picture?,"How many people are in the picture, and what does that tell you about the scene?",What is the girl doing with her hands?,Is the girl moving or still?,"Is the girl moving or still, and what does that tell you about her activity?",How does the girl look?,What mood do you think the girl is in?,"What mood do you think the girl is in, and why do you think she feels that way?"
016,img_016.png,1,fox; sun; clouds; grass,fox looking up,a fox,fox looking at the sun,grassy field,orange; blue; green; yellow,round sun; fluffy clouds,quiet; breeze,fox bigger than grass,one fox; two clouds,still fox,calm and peaceful,Who is sitting on the grass?,What is the fox looking at?,Where do you think the fox is?,What colors do you see in the picture?,What shapes are in the sky?,What sounds might you hear here?,"What is bigger, the fox or the grass?",How many clouds are in the sky?,Is the fox moving or still?,What mood does this picture give you?,What animal is on the grass?,Who is sitting on the grass?,"Who is sitting on the grass, and why might it be there?",What is the fox looking at in the sky?,What is the fox looking at?,"What is the fox looking at, and why might it be interested?",Where is the fox sitting?,Where do you think the fox is?,"Where do you think the fox is, and what makes you think that?",What color is the fox?,What colors do you see in the picture?,"What colors do you see, and how do they make you feel?",What shape is the sun?,What shapes are in the sky?,"What shapes are in the sky, and what do they remind you of?",What sounds might the fox hear?,What sounds might you hear here?,"What sounds might you hear here, and how would they make you feel?",How big is the fox compared to the grass?,"What is bigger, the fox or the grass?","What is bigger, the fox or the grass, and why does that matter?",How many clouds do you see?,How many clouds are in the sky?,"How many clouds are in the sky, and what do you think about that?",What is the fox doing?,Is the fox moving or still?,"Is the fox moving or still, and what might it be thinking?",How does this picture make you feel?,What mood does this picture give you?,"What mood does this picture give you, and why do you think that is?"
017,img_017.png,2,birds; nest; tree,building a nest; flying,two blue birds,building a nest,in a tree,blue; brown; green,round nest,chirping,birds small; tree large,two birds,one bird flying,busy and peaceful,Who is in the tree?,What are the birds doing?,Where are the birds building the nest?,What colors do you see?,What shape is the nest?,What sounds might the birds make?,What is small and what is large?,How many birds are there?,How is one bird moving?,What mood does this scene give you?,Who is flying in the sky?,Who is in the tree?,"Who is in the tree, and what are they doing together?",What are the birds making?,What are the birds doing?,"What are the birds doing, and why might they be doing it?",Where are the birds?,Where are the birds building the nest?,"Where are the birds building the nest, and why is it a good spot?",What color are the birds?,What colors do you see?,"What colors do you see, and how do they make the scene feel?",What shape is the nest?,What shape is the nest?,"What shape is the nest, and why do you think it's that shape?",What sound do birds make?,What sounds might the birds make?,"What sounds might the birds make, and how do those sounds add to the scene?",How big is the tree?,What is small and what is large?,"What is small and what is large, and why does that matter for the birds?",How many birds are in the tree?,How many birds are there?,"How many birds are there, and how might their number help them build the nest?",What is one bird doing in the sky?,How is one bird moving?,"How is one bird moving, and why might it be moving that way?",How does the picture make you feel?,What mood does this scene give you?,"What mood does this scene give you, and why do you think it feels that way?"
018,img_018.png,1,child; swing; playground,swinging,child on swing,child is swinging,playground,yellow shirt; blue shorts,rectangular swing seat,swing creaking,child smaller than swing set,one child,swinging back and forth,happy and playful,Who is on the swing?,What is the child doing?,Where is the child playing?,What colors are the child's clothes?,What shape is the swing seat?,What sounds might the swing make?,How does the child's size compare to the swing?,How many children are on the swing?,How is the swing moving?,What mood does the child seem to have?,What is the child sitting on?,Who is on the swing?,Who might have brought the child to the playground?,What is the child sitting on?,What is the child doing?,What might the child be thinking while swinging?,Where is the swing located?,Where is the child playing?,Why do you think the child likes playing at the playground?,What color is the child's shirt?,What colors are the child's clothes?,How do the colors of the child's clothes make them stand out?,What shape is the seat of the swing?,What shape is the swing seat?,How does the shape of the swing seat help the child stay on?,What sound might you hear from the swing?,What sounds might the swing make?,How do the sounds of the swing add to the fun of playing?,How big is the swing compared to the child?,How does the child's size compare to the swing?,Why is it important for the swing to be bigger than the child?,How many people are on the swing?,How many children are on the swing?,How might the experience change if more children were on the swing?,What is the swing doing?,How is the swing moving?,How does the back-and-forth movement of the swing make it fun?,How does the child look while swinging?,What mood does the child seem to have?,What about the child's face makes you think they are happy?
019,img_019.png,1,dog; sun; grass,dog panting; sun shining,a dog,dog is panting,on the grass,brown; green; yellow,round sun; oval dog,panting,dog smaller than sun,one dog; one sun,dog is still,hot and tired,Who is in the picture?,What is the dog doing?,Where is the dog lying?,What colors do you see?,What shape is the sun?,What sounds might the dog make?,"What is bigger, the dog or the sun?",How many dogs are there?,Is the dog moving or still?,How do you think the dog feels?,What animal do you see in the picture?,Who is in the picture?,"Who is in the picture, and what might it be thinking?",What is the dog doing with its mouth?,What is the dog doing?,"What is the dog doing, and why might it be doing that?",What is the dog lying on?,Where is the dog lying?,"Where is the dog lying, and why might it choose that spot?",What color is the grass?,What colors do you see?,"What colors do you see, and how do they make the scene feel?",What shape is the sun?,What shape is the sun?,"What shape is the sun, and how does it compare to the dog's shape?",What sound does a dog make when it's hot?,What sounds might the dog make?,"What sounds might the dog make, and how do those sounds tell you about its feelings?",How big is the dog?,"What is bigger, the dog or the sun?","What is bigger, the dog or the sun, and why do you think that is?",How many animals are in the picture?,How many dogs are there?,"How many dogs are there, and what else is in the picture?",What is the dog doing right now?,Is the dog moving or still?,"Is the dog moving or still, and what might that tell you about its mood?",How does the dog look?,How do you think the dog feels?,"How do you think the dog feels, and why might it feel that way?"
020,img_020.png,2,boy; sculpture; pedestal,looking; observing,boy with backpack,boy looking at sculpture,museum or gallery,yellow; beige; blue,curvy sculpture,quiet; footsteps,sculpture taller than boy,one boy; one sculpture,still boy; still sculpture,curious; thoughtful,Who is in the picture?,What is the boy doing?,Where do you think this is?,What colors can you see?,What shape is the sculpture?,What sounds might you hear here?,What is big and what is small?,How many people are there?,Is anything moving in the picture?,What mood does this picture give you?,What is the boy wearing?,Who is in the picture?,"Who is in the picture, and what can you tell about him?",What is the boy looking at?,What is the boy doing?,"What is the boy doing, and why do you think he's interested?",Where do you think the boy is standing?,Where do you think this is?,"Where do you think this is, and why might people visit this place?",What color is the sculpture?,What colors can you see?,"What colors can you see, and how do they make the scene feel?",What shape is the sculpture?,What shape is the sculpture?,"What shape is the sculpture, and what does it remind you of?",What sounds might you hear if you were there?,What sounds might you hear here?,"What sounds might you hear here, and why would it be quiet?",How tall is the sculpture compared to the boy?,What is big and what is small?,"What is big and what is small, and how does the size affect the boy?",How many things can you see in the picture?,How many people are there?,"How many people are there, and what does this tell you about the place?",What is the boy doing with his body?,Is anything moving in the picture?,"Is anything moving in the picture, and why might everything be still?",How do you think the boy feels?,What mood does this picture give you?,"What mood does this picture give you, and why do you think that is?"
